title,year,audience_score,critics_score
spiderman,2018,9.3,9.7
knock at the cabin,2023,6.3,6.7
the super mario bros movie,2023,9.5,5.9
doctor strange in the multiverse of madness,2022,8.5,7.3
the irishman,2019,8.6,9.5
the guilty,2021,5.1,7.3
the boy and the heron,2023,8.8,9.6
the grab,2022,9.2,8.2
the lodge,2019,5.1,7.5
minding the gap,2018,9.0,10.0
dont lets go to the dogs tonight,2024,8.4,9.1
in the tall grass,2019,3.3,3.6
the apprentice,2024,8.4,8.3
the last rodeo,2025,9.5,6.9
the rule of jenny pen,2024,5.5,7.1
the peanut butter falcon,2019,9.6,9.5
demon slayer kimetsu no yaiba the movie,2020,9.9,9.8
in the lost lands,2025,4.8,2.4
the flash,2023,8.1,6.3
the old guard 2,2025,3.3,2.7
the jester,2023,2.6,2.5
the platform,2019,7.3,8.1
the suicide squad,2021,8.2,9.0
one cut of the dead,2017,8.4,10.0
under the silver lake,2018,5.9,5.8
night of the zoopocalypse,2024,8.2,8.8
indiana jones and the dial of destiny,2023,8.7,7.1
the gray man,2022,9.0,4.6
the big sick,2017,8.8,9.8
the green knight,2021,5.0,8.9
the brothers grimsby,2016,4.1,3.7
kingdom of the planet of the apes,2024,7.7,8.0
antman and the wasp,2023,8.1,4.6
the purge,2016,4.8,5.5
fly me to the moon,2024,8.9,6.6
the emoji movie,2017,3.6,0.6
the bikeriders,2023,7.4,7.9
puss in boots,2022,9.4,9.5
the exorcist,2023,5.7,2.2
the first purge,2018,2.8,5.5
godzilla x kong,2024,8.9,5.4
the bad guys,2022,9.3,8.7
a house of dynamite,2025,7.8,7.6
the house that jack built,2018,6.5,5.9
bambi,2025,5.7,6.3
the cloverfield paradox,2018,4.1,2.2
hell house llc origins,2023,7.9,8.8
the shrouds,2024,5.1,7.5
the hunt,2020,6.6,5.7
the coffee table,2022,7.2,8.9
the pickup,2025,3.6,2.5
the whale,2022,9.1,6.4
jujutsu kaisen 0,2021,9.8,9.8
summer of soul or when the revolution could not be televised,2021,9.8,9.9
the mitchells vs the machines,2021,8.9,9.7
brave the dark,2023,9.4,7.4
john and the hole,2020,2.3,6.0
murder on the orient express,2017,5.4,6.0
the return,2024,7.6,7.8
the seed of the sacred fig,2024,9.4,9.7
the cursed,2021,5.4,7.1
the banshees of inisherin,2022,7.5,9.6
the devil all the time,2020,7.9,6.5
the forever purge,2021,7.8,4.8
springsteen,2025,8.3,5.9
the promised land,2023,9.5,9.7
the curse of la llorona,2019,3.5,2.6
judas and the black messiah,2021,9.5,9.6
all the bright places,2020,6.2,6.7
the last voyage of the demeter,2023,7.3,5.0
the monster,2016,4.0,8.1
the exorcism,2024,3.6,2.7
the best christmas pageant ever,2024,9.7,9.2
the last duel,2021,8.1,8.5
in the shadow of the moon,2019,5.0,5.9
pirates of the caribbean,2017,6.0,3.0
transformers,2023,9.1,5.1
the house with a clock in its walls,2018,4.5,6.5
mission,2023,9.4,9.6
rocky iv,2021,9.3,7.2
365 days,2020,3.6,0.0
descendent,2025,4.5,8.8
downwind,2023,7.9,10.0
last days,2025,7.1,3.1
death of a unicorn,2025,7.6,5.3
deadstream,2022,7.5,9.2
dead of winter,2025,7.9,7.6
a different man,2024,8.9,9.3
kpop demon hunters,2025,9.9,9.5
dont move,2024,4.0,7.5
demon slayer,2025,9.8,9.8
descendant,2022,6.4,10.0
deep cover,2025,7.9,9.0
dont look up,2021,7.8,5.6
evil dead rise,2023,7.6,8.5
until dawn,2025,6.7,5.1
strange darling,2023,8.5,9.6
play dirty,2025,4.2,4.3
dont worry darling,2022,7.4,3.8
dangerous animals,2025,7.4,8.7
guillermo del toros pinocchio,2022,9.0,9.6
magazine dreams,2023,8.9,8.0
perfect days,2023,9.3,9.6
no time to die,2021,8.8,8.3
dog man,2025,8.1,8.1
downsizing,2017,2.5,4.7
deep water,2022,2.5,3.5
final destination bloodlines,2025,8.6,9.2
den of thieves,2018,6.3,4.2
joker,2024,3.1,3.1
doctor sleep,2019,8.9,7.8
dont breathe,2016,7.9,8.8
honey dont,2025,4.0,4.5
i know what you did last summer,2025,6.8,3.6
dune,2021,9.0,8.3
