title,year,audience_score,critics_score,imdb_id,relaxed_title
ddi,2024,9.1,9.5,,ddi
disobedience,2017,7.5,8.4,tt6108178,disobedience
i dont understand you,2024,4.6,5.2,tt27623406,i dont understand you
the lost daughter,2021,5.6,9.4,tt9100054,lost daughter
the room next door,2024,7.6,8.0,tt29439114,room next door
downton abbey,2022,9.7,8.7,,downton abbey
a dark song,2016,6.2,9.1,tt4805316,dark song
deadpool,2016,9.0,8.5,tt1431045,deadpool
my dead friend zoe,2024,9.5,9.4,tt22022784,my dead friend zoe
pokmon detective pikachu,2019,7.9,6.8,tt5884052,pokmon detective pikachu
sleeping dogs,2024,8.1,4.3,tt8542964,sleeping dogs
dear santa,2024,3.9,2.4,tt2396431,dear santa
devotion,2022,9.2,8.1,tt7693316,devotion
death on the nile,2022,8.2,6.2,tt7657566,death on the nile
my friend dahmer,2017,6.1,8.5,tt2291540,my friend dahmer
detroit,2017,7.9,8.2,tt5390504,detroit
dolittle,2020,7.6,1.5,tt6673612,dolittle
the dry,2021,8.9,9.0,tt5144174,dry
the death of stalin,2017,7.9,9.4,tt4686844,death of stalin
operation fortune,2023,8.2,5.1,,operation fortune
dumb money,2023,8.5,8.4,tt13957560,dumb money
robot dreams,2023,8.8,9.8,tt13429870,robot dreams
zombieland,2019,8.8,6.8,,zombieland
the next 365 days,2022,3.6,0.0,tt21106646,next 365 days
demon slayer,2024,7.9,8.8,,demon slayer
la dolce villa,2025,5.9,7.5,tt31519456,la dolce villa
dora and the search for sol dorado,2025,8.8,9.2,,dora and the search for sol dorado
coup de chance,2023,7.6,8.4,tt15140278,coup de chance
madeas destination wedding,2025,3.6,1.1,tt33299083,madeas destination wedding
dogman,2023,8.3,5.9,tt17009348,dogman
hold the dark,2018,3.3,6.9,tt5057140,hold the dark
orion and the dark,2024,5.7,9.1,tt28066777,orion and the dark
bring them down,2024,5.4,8.9,tt14186876,bring them down
a dogs purpose,2017,7.4,3.5,tt1753383,dogs purpose
i dont feel at home in this world anymore,2017,7.7,8.9,tt5710514,i dont feel at home in this world anymore
the secret,2020,7.2,2.8,,secret
the priests 2,2025,6.6,5.3,,priests 2
diablo,2025,5.0,7.1,tt27757546,diablo
abrahams boys,2025,3.0,4.0,,abrahams boys
how to make millions before grandma dies,2024,9.4,9.8,tt31392609,how to make millions before grandma dies
the boy behind the door,2020,6.2,9.7,tt10772662,boy behind the door
the dig,2021,7.8,8.8,tt3661210,dig
dirty grandpa,2016,4.4,1.0,tt1860213,dirty grandpa
double blind,2023,6.9,10.0,tt14729020,double blind
dark harvest,2023,4.7,6.7,tt9204328,dark harvest
dreamin wild,2022,6.5,9.0,,dreamin wild
intrigo,2018,4.8,1.1,,intrigo
dolemite is my name,2019,9.1,9.7,tt8526872,dolemite is my name
raya and the last dragon,2021,9.7,9.3,tt5109280,raya and the last dragon
dear evan hansen,2021,8.8,2.8,tt9357050,dear evan hansen
dora and the lost city of gold,2019,8.8,8.5,tt7547410,dora and the lost city of gold
the french dispatch,2021,7.6,7.5,tt8847712,french dispatch
the neon demon,2016,5.1,5.9,tt1974419,neon demon
driveaway dolls,2024,3.7,6.4,tt19356262,driveaway dolls
dark phoenix,2019,6.4,2.2,,dark phoenix
blumhouses truth or dare,2018,2.3,1.5,,blumhouses truth or dare
despicable me 3,2017,5.3,5.8,tt3469046,despicable me 3
roofman,2025,8.5,8.6,tt4627382,roofman
rebel ridge,2024,7.3,9.5,tt11301886,rebel ridge
regretting you,2025,8.5,2.8,tt33088452,regretting you
rrr,2022,9.4,9.6,tt8178634,rrr
the deeper you dig,2019,5.8,9.4,tt10563420,deeper you dig
small engine repair,2021,8.5,7.8,tt9789042,small engine repair
dhadak 2,2025,8.1,6.3,tt13451410,dhadak 2
raw,2016,7.6,9.3,tt4954522,raw
maintenance required,2025,3.7,3.8,tt33335602,maintenance required
what remains,2022,4.1,8.9,,what remains
flight risk,2025,6.2,2.9,tt10078772,flight risk
reptile,2023,7.0,4.4,tt13274016,reptile
ready player one,2018,7.7,7.1,tt1677720,ready player one
run,2020,7.4,8.8,tt8633478,run
red one,2024,8.9,3.0,tt14948432,red one
rebel moon,2023,5.6,2.2,,rebel moon
