title,year,audience_score,critics_score,imdb_id,relaxed_title
uss indianapolis,2016,2.9,1.8,,uss indianapolis
uproar,2023,8.4,10.0,,uproar
evangelion,2021,9.1,10.0,,evangelion
kesari chapter 2,2025,9.7,3.9,,kesari chapter 2
it is in us all,2022,7.1,7.9,,it is in us all
underworld,2016,4.9,2.1,,underworld
captain underpants,2017,6.3,8.7,,captain underpants
unknown,2023,7.2,10.0,,unknown
what haunts us,2018,7.4,10.0,,what haunts us
unleashed,2016,7.0,7.5,,unleashed
steven universe,2019,8.6,10.0,,steven universe
unicorns,2023,9.3,7.7,,unicorns
47 meters down,2019,6.8,4.4,,47 meters down
uri,2019,9.2,5.7,,uri
undergods,2020,4.1,8.3,,undergods
kingdom of us,2017,8.3,10.0,,kingdom of us
the unseen,2016,4.9,10.0,,unseen
stephen curry,2023,8.7,8.5,,stephen curry
unfriend,2016,2.8,1.7,,unfriend
pokmon the movie,2018,6.9,7.1,,pokmon the movie
1000 me,2023,5.7,10.0,,1000 me
the woman under the stage,2023,8.3,10.0,,woman under the stage
woodlands dark and days bewitched,2021,9.1,10.0,,woodlands dark and days bewitched
tanhaji,2020,8.8,7.5,,tanhaji
uchiage hanabi shita kara miru ka yoko kara miru ka,2017,6.0,4.5,,uchiage hanabi shita kara miru ka yoko kara miru ka
untitled horror movie,2021,6.8,8.2,,untitled horror movie
flora and ulysses,2020,6.0,7.3,,flora and ulysses
regarding us,2024,10.0,9.0,,regarding us
lakota nation vs united states,2022,7.6,10.0,,lakota nation vs united states
unidentified objects,2022,7.7,8.6,,unidentified objects
under the stadium lights,2021,4.6,1.1,,under the stadium lights
dark wind,2017,8.8,8.0,,dark wind
yugioh,2016,7.6,4.0,,yugioh
its not yet dark,2016,6.7,9.5,,its not yet dark
faceless after dark,2023,3.1,7.7,,faceless after dark
justice league dark,2017,7.0,8.0,,justice league dark
they wait in the dark,2022,4.1,9.3,,they wait in the dark
the dark divide,2020,6.7,9.3,,dark divide
dark nature,2022,1.0,7.2,,dark nature
the dark red,2018,5.8,7.5,,dark red
dark money,2018,6.6,9.6,,dark money
trevor noah,2017,4.3,10.0,,trevor noah
dark signal,2016,3.3,3.3,,dark signal
